Probeset	Nod_10dpi_1	Nod_10dpi_2	Nod_10dpi_3
Mtr.10299.1.S1_at	4735.71	5257.39	4852.52
Mtr.103.1.S1_at	6.85333	7.01307	8.18476
Mtr.10300.1.S1_at	7570.33	8269.57	8642.84
Mtr.10301.1.S1_s_at	34.4774	37.0613	41.8295
Mtr.10302.1.S1_x_at	40.7889	47.4178	57.1717
Mtr.10303.1.S1_at	2147.97	1923.13	1957.41
Mtr.10304.1.S1_at	3028.24	2998.31	2867.86
Mtr.10305.1.S1_at	2917.65	2995.69	2922.41
Mtr.10306.1.S1_at	4222.7	3831.43	3612.65
Mtr.10307.1.S1_at	281.631	340.539	292.105
Mtr.10308.1.S1_at	1468.1	1799.97	1488.29
Mtr.10309.1.S1_at	3572.65	4541.88	4213.96
Mtr.1031.1.S1_at	9.73839	8.57327	10.9322
Mtr.10310.1.S1_at	190.839	157.466	172.616
Mtr.10311.1.S1_at	273.411	991.352	423.694
Mtr.10312.1.S1_at	11.7701	12.1949	24.7156
Mtr.10313.1.S1_at	1147.62	1471.41	1603.31
Mtr.10314.1.S1_at	1187.64	1154.45	1098.83
Mtr.10315.1.S1_at	737.472	564.119	455.415
Mtr.10316.1.S1_at	4076.08	3453.74	3485.08
Mtr.10317.1.S1_at	118.066	389.549	312.592
Mtr.10318.1.S1_at	2999.8	3437.85	3054.6
Mtr.10319.1.S1_at	57.7045	202.403	135.851
Mtr.1032.1.S1_at	12.6773	10.6112	11.5661
Mtr.10320.1.S1_at	4638.7	4164.65	3560.62
Mtr.10321.1.S1_at	1663.68	1862.76	1797.35
Mtr.10322.1.S1_at	1450.06	1377.02	1564.96
Mtr.10323.1.S1_at	1496.88	1591.96	1384.05
Mtr.10324.1.S1_at	4304.69	4034.15	4091.46
Mtr.10325.1.S1_at	34.8227	28.6457	43.6057
Mtr.10326.1.S1_at	3193.51	3186.56	3359.39
Mtr.10327.1.S1_at	261.896	186.523	170.484
Mtr.10329.1.S1_at	6.43632	5.95038	5.77218
Mtr.1033.1.S1_at	280.215	431.731	431.508
Mtr.1033.1.S1_s_at	225.924	351.057	360.495
Mtr.10330.1.S1_at	71.5632	66.0283	85.3308
Mtr.10330.1.S1_s_at	183.313	163.59	178.022
Mtr.10330.1.S1_x_at	138.21	167.699	123.574
Mtr.10331.1.S1_at	82.6077	61.1384	115.17
Mtr.10332.1.S1_at	170.199	164.799	195.893
Mtr.10337.1.S1_at	733.807	740.156	793.962
Mtr.10338.1.S1_at	8.88648	8.65307	8.65757
Mtr.10338.1.S1_s_at	1034.19	2311.04	1548.9
Mtr.10339.1.S1_at	103.088	91.8443	112.602
Mtr.1034.1.S1_at	1623.21	1282.19	1583.66
Mtr.10340.1.S1_at	1501.59	1647.97	1863.22
Mtr.10341.1.S1_at	791.485	742.798	752.57
Mtr.10342.1.S1_at	192.592	310.322	320.654
Mtr.10343.1.S1_at	15.3633	12.4439	9.04338
Mtr.10344.1.S1_at	2390.65	2558.81	2833.76
Mtr.10345.1.S1_s_at	1421.03	1392.9	1403.16
Mtr.10346.1.S1_at	170.238	116.725	123.922
Mtr.10347.1.S1_at	826.794	885.174	756.73
Mtr.10348.1.S1_at	28.2292	26.8514	31.5639
Mtr.10349.1.S1_at	82.6792	216.428	139.388
Mtr.10349.1.S1_s_at	3073.88	6156.5	3809.96
Mtr.1035.1.S1_at	36.9433	31.7446	35.046
Mtr.10350.1.S1_at	6.65146	8.34043	7.78011
Mtr.10351.1.S1_at	2840.43	3062.62	2993.99
Mtr.10352.1.S1_at	1571.74	1593.72	1720.98
Mtr.10353.1.S1_at	20.6275	21.9039	39.1308
Mtr.10353.1.S1_s_at	115.572	117.712	101.077
Mtr.10354.1.S1_at	6733.81	6610.85	7024.03
Mtr.10355.1.S1_at	3781.25	3754.69	3778.45
Mtr.10356.1.S1_at	3568.13	3476.27	3941
Mtr.10357.1.S1_at	5975.46	5134.67	5281.98
Mtr.10358.1.S1_at	185.846	179.579	128.803
Mtr.10359.1.S1_at	1743.39	1854.67	2132.59
Mtr.1036.1.S1_at	7.12623	5.58765	5.82154
Mtr.10360.1.S1_s_at	776.889	1049.82	837.576
Mtr.10361.1.S1_at	3425.98	4050.27	5319.96
Mtr.10362.1.S1_at	8185.7	8040.89	7601.9
Mtr.10363.1.S1_x_at	347.867	368.068	734.827
Mtr.10364.1.S1_at	8.12179	8.65307	8.42952
Mtr.10365.1.S1_at	9.33107	8.52647	8.46421
Mtr.10365.1.S1_s_at	3079.22	3774.13	4180.45
Mtr.10366.1.S1_at	9.55205	13.8402	15.4994
Mtr.10367.1.S1_at	6771.56	6808.69	7055.64
Mtr.10368.1.S1_at	113.908	283.69	158.497
Mtr.10369.1.S1_at	10.7064	18.296	14.4378
Mtr.1037.1.S1_at	19.0511	19.1716	14.2787
Mtr.10370.1.S1_at	6584.14	4201.62	4847.34
Mtr.10371.1.S1_at	6125.28	5595.04	5601.7
Mtr.10372.1.S1_at	2473.34	1707.91	1703.51
Mtr.10373.1.S1_at	27.101	127.559	174.136
Mtr.10375.1.S1_at	291.573	278.179	317.557
Mtr.10376.1.S1_at	8109.45	7845.15	7664.27
Mtr.10377.1.S1_at	99.3109	130.854	138.9
Mtr.10377.1.S1_s_at	92.9366	96.9678	81.7786
Mtr.10378.1.S1_at	50.7233	16.256	26.385
Mtr.10379.1.S1_at	369.886	382.695	384.135
Mtr.1038.1.S1_at	124.057	102.63	117.648
Mtr.10380.1.S1_at	2407.45	3146.91	3261.55
Mtr.10382.1.S1_at	19731.1	18131.1	18273.7
Mtr.10383.1.S1_at	4482.85	5123.45	4788.88
Mtr.10384.1.S1_at	5468.75	4129.02	4063.36
Mtr.10385.1.S1_at	3210.28	2953.33	2963.09
Mtr.10386.1.S1_at	16111.7	16718.3	15279.1
Mtr.10387.1.S1_at	192.005	134.617	402.235
Mtr.10388.1.S1_at	940.435	796.36	1093.61
Mtr.10389.1.S1_s_at	2154.27	1758.19	2314.89
Mtr.1039.1.S1_at	82.1413	90.396	93.6014
Mtr.10390.1.S1_at	662.619	741.121	733.414
Mtr.10391.1.S1_at	2768.95	2819.19	3156.9
Mtr.10392.1.S1_at	14478.9	12547.1	12180.9
