Probeset	Nod_28dpi_1	Nod_28dpi_2	Nod_28dpi_3
Mtr.10294.1.S1_at	530.988	567.944	523.271
Mtr.10295.1.S1_at	52.9508	87.7154	83.787
Mtr.10296.1.S1_at	201.386	209.985	198.535
Mtr.10297.1.S1_at	16181.4	15748.6	14489.9
Mtr.10298.1.S1_at	12.7991	19.5329	9.91311
Mtr.10299.1.S1_at	4786.81	4933.7	4538.39
Mtr.103.1.S1_at	8.82144	8.0023	9.57108
Mtr.10300.1.S1_at	6493.88	5701.36	5001.24
Mtr.10301.1.S1_s_at	32.7591	58.0774	37.7716
Mtr.10302.1.S1_x_at	51.9595	40.5535	40.9579
Mtr.10303.1.S1_at	2655.9	2685.66	3042.02
Mtr.10304.1.S1_at	3634.93	3639.16	3021.32
Mtr.10305.1.S1_at	3548.93	4039.9	3760.71
Mtr.10306.1.S1_at	4383.94	4734.7	4169.93
Mtr.10307.1.S1_at	488.056	673.447	820.251
Mtr.10308.1.S1_at	498.762	604.703	884.186
Mtr.10309.1.S1_at	3998.63	3378	2671.93
Mtr.1031.1.S1_at	11.7035	10.4876	8.52802
Mtr.10310.1.S1_at	187.216	212.744	282.539
Mtr.10311.1.S1_at	126.559	90.9989	48.6194
Mtr.10312.1.S1_at	40.4553	40.2861	63.5986
Mtr.10313.1.S1_at	1649.88	1511.64	1478.2
Mtr.10314.1.S1_at	641.54	575.375	542.27
Mtr.10315.1.S1_at	629.947	600.015	684.258
Mtr.10316.1.S1_at	3777.87	4172.97	3729.27
Mtr.10317.1.S1_at	156.572	194.699	246.907
Mtr.10318.1.S1_at	3024.73	3074.29	2908.61
Mtr.10319.1.S1_at	18.6543	32.6419	21.2566
Mtr.1032.1.S1_at	16.6429	9.29545	12.774
Mtr.10320.1.S1_at	2262.89	2192.72	2304.96
Mtr.10321.1.S1_at	1748.93	1663.17	2233.47
Mtr.10322.1.S1_at	1641.93	1706.4	1431.79
Mtr.10323.1.S1_at	1297.58	1213.34	1473.32
Mtr.10324.1.S1_at	4182.63	4283.53	4852.63
Mtr.10325.1.S1_at	19.0829	19.0893	20.3575
Mtr.10326.1.S1_at	3081.98	2890.75	3038.43
Mtr.10327.1.S1_at	335.778	293.261	453.25
Mtr.10329.1.S1_at	5.98514	6.1094	5.01202
Mtr.1033.1.S1_at	366.206	406.631	364.369
Mtr.1033.1.S1_s_at	237.155	196.874	157.72
Mtr.10330.1.S1_at	74.6255	61.0883	77.9106
Mtr.10330.1.S1_s_at	135.361	177.115	144.583
Mtr.10330.1.S1_x_at	167.348	168.592	157.922
Mtr.10331.1.S1_at	219.355	438.1	464.133
Mtr.10332.1.S1_at	225.947	171.977	246.507
Mtr.10337.1.S1_at	504.298	427.829	386.292
Mtr.10338.1.S1_at	7.56626	6.81504	7.78033
Mtr.10338.1.S1_s_at	819.729	1012.48	1754.87
Mtr.10339.1.S1_at	54.4985	52.8056	36.8532
Mtr.1034.1.S1_at	1292.4	1358.58	1451.76
Mtr.10340.1.S1_at	1544.93	1272.73	1282.29
Mtr.10341.1.S1_at	832.203	807.657	845.402
Mtr.10342.1.S1_at	471.973	495.657	445.912
Mtr.10343.1.S1_at	11.717	10.6452	10.5544
Mtr.10344.1.S1_at	2111.14	1880.94	1702.7
Mtr.10345.1.S1_s_at	1346.25	1292.52	1327.9
Mtr.10346.1.S1_at	124.25	149.389	114.877
Mtr.10347.1.S1_at	986.283	990.977	1105.26
Mtr.10348.1.S1_at	14.2894	10.6273	13.6132
Mtr.10349.1.S1_at	93.8023	95.6143	109.492
Mtr.10349.1.S1_s_at	3203.91	3199.55	4380.45
Mtr.1035.1.S1_at	31.8793	29.2625	33.621
Mtr.10350.1.S1_at	10.9187	7.32811	7.20772
Mtr.10351.1.S1_at	1595.39	1522.93	1192
Mtr.10352.1.S1_at	1781.35	1722.66	1731.48
Mtr.10353.1.S1_at	27.3995	21.4193	24.751
Mtr.10353.1.S1_s_at	96.7138	113.059	98.41
Mtr.10354.1.S1_at	6647.39	7060.25	6178.32
Mtr.10355.1.S1_at	2103.12	1991.73	1719.37
Mtr.10356.1.S1_at	3226.99	2663.24	3369.19
Mtr.10357.1.S1_at	6956.15	7091.96	6489.17
Mtr.10358.1.S1_at	309.044	352.199	331.558
Mtr.10359.1.S1_at	925.554	1101.58	795.298
Mtr.1036.1.S1_at	6.75764	6.68206	5.79636
Mtr.10360.1.S1_s_at	643.473	630.376	544.501
