Probeset	ART_00meristem_1	ART_00meristem_2	ART_00meristem_3
Mtr.10344.1.S1_at	1308.93	1413.87	1626.91
Mtr.10345.1.S1_s_at	1277.16	1169.97	1146.19
Mtr.10346.1.S1_at	18.3955	59.9623	24.7513
Mtr.10347.1.S1_at	1431.92	1346	1260.35
Mtr.10348.1.S1_at	18.354	20.7141	19.5453
Mtr.10349.1.S1_at	133.201	126.238	116.16
Mtr.10349.1.S1_s_at	3099.48	3184.43	2807.74
Mtr.1035.1.S1_at	22.5127	25.9762	22.3383
Mtr.10350.1.S1_at	7.75696	5.46267	6.97098
Mtr.10351.1.S1_at	1323.93	1349.75	1541.73
Mtr.10352.1.S1_at	3265.36	3289.42	3117.25
Mtr.10353.1.S1_at	7.57086	6.98757	7.75949
Mtr.10353.1.S1_s_at	19.1457	23.3086	11.9825
Mtr.10354.1.S1_at	11089.1	9994.7	9694.99
Mtr.10355.1.S1_at	1935.69	1819.92	1983.31
Mtr.10356.1.S1_at	6541.79	6509.56	7257.41
Mtr.10357.1.S1_at	10665.2	11501.1	10817.1
Mtr.10358.1.S1_at	74.8677	47.6859	63.169
Mtr.10359.1.S1_at	1706.99	1642.83	1553.26
Mtr.1036.1.S1_at	7.24918	6.53936	6.51793
Mtr.10360.1.S1_s_at	1111.23	1280.09	1256.29
Mtr.10361.1.S1_at	3914.53	5060.12	6080.84
Mtr.10362.1.S1_at	12554.5	11524.7	11754.7
Mtr.10363.1.S1_x_at	810.865	827.984	1027.13
Mtr.10364.1.S1_at	10.301	10.7821	12.6176
Mtr.10365.1.S1_at	8.18723	12.5058	9.76492
Mtr.10365.1.S1_s_at	2544.24	3789.6	4136.28
Mtr.10366.1.S1_at	19.3198	24.6141	24.2072
Mtr.10367.1.S1_at	6492.52	5911.06	6200.31
Mtr.10368.1.S1_at	742.858	1033.81	1019.97
Mtr.10369.1.S1_at	28.6715	24.4523	27.2311
Mtr.1037.1.S1_at	18.2351	13.8153	17.5638
Mtr.10370.1.S1_at	7598.49	8726.49	9098
Mtr.10371.1.S1_at	9501.96	9996.02	8726.78
Mtr.10372.1.S1_at	956.906	1366.62	1464.91
Mtr.10373.1.S1_at	1598.46	1613.48	2230.99
Mtr.10375.1.S1_at	1143.98	1141.61	933.639
Mtr.10376.1.S1_at	1850.93	1743.98	1564.06
Mtr.10377.1.S1_at	385.231	334.538	277.323
Mtr.10377.1.S1_s_at	226.757	173.951	159.037
Mtr.10378.1.S1_at	20.0503	41.6283	35.6904
Mtr.10379.1.S1_at	15.4476	13.2732	11.5547
Mtr.1038.1.S1_at	129.795	175.677	102.961
Mtr.10380.1.S1_at	113.754	23.2559	49.9639
Mtr.10382.1.S1_at	114.679	48.6041	70.7274
Mtr.10383.1.S1_at	30.086	15.8443	13.6829
Mtr.10384.1.S1_at	40.0935	12.2351	14.8217
Mtr.10385.1.S1_at	30.0091	19.7043	19.0942
Mtr.10386.1.S1_at	70.3519	57.2025	57.5968
Mtr.10387.1.S1_at	9.68442	7.33999	7.04495
Mtr.10388.1.S1_at	1884.72	2059.77	2707.54
Mtr.10389.1.S1_s_at	2813.69	2900.26	3849.14
Mtr.1039.1.S1_at	146.691	151.52	159.18
Mtr.10390.1.S1_at	767.822	762.146	728.492
Mtr.10391.1.S1_at	2893.55	3750.88	4260.18
Mtr.10392.1.S1_at	18320.7	18139	18715.9
Mtr.10393.1.S1_at	280.563	402.48	485.534
Mtr.10394.1.S1_at	1069.79	1138.9	1146.26
Mtr.10395.1.S1_at	97.3146	86.6896	71.8615
Mtr.10396.1.S1_at	1558.79	846.433	769.713
Mtr.10397.1.S1_at	1144.46	1072.47	919.514
Mtr.10398.1.S1_at	4672.39	5395.33	5397.76
Mtr.10399.1.S1_at	8077.05	8065.12	6788.03
Mtr.104.1.S1_at	11.3051	13.0196	9.69917
Mtr.1040.1.S1_at	93.2158	113.23	108.91
Mtr.10400.1.S1_at	5350.73	5135.08	5110.66
Mtr.10402.1.S1_at	61.5895	79.239	82.381
Mtr.10403.1.S1_at	128.457	134.984	112.345
Mtr.10404.1.S1_at	907.314	1060.98	985.707
