Probeset	ART_03dpi_control_1	ART_03dpi_control_2	ART_03dpi_control_3
Mtr.10220.1.S1_s_at	50.7838	49.5968	25.2661
Mtr.10221.1.S1_at	1758.88	1966.8	1762.04
Mtr.10222.1.S1_at	154.475	156.808	125.425
Mtr.10223.1.S1_at	8.56523	6.92141	7.35093
Mtr.10224.1.S1_at	34.442	39.6524	40.8985
Mtr.10225.1.S1_at	48.0293	55.1317	29.8656
Mtr.10226.1.S1_at	303.732	290.627	254.193
Mtr.10227.1.S1_at	7.01416	7.0678	7.30363
Mtr.10228.1.S1_at	12.2467	10.1171	10.8245
Mtr.10229.1.S1_at	39.7281	50.9206	38.1347
Mtr.1023.1.S1_at	8.87542	9.00877	8.5906
Mtr.10230.1.S1_at	112.261	80.4687	96.202
Mtr.10231.1.S1_at	19.4837	19.3864	19.5416
Mtr.10232.1.S1_at	16.8316	10.9663	15.2651
Mtr.10233.1.S1_at	810.234	807.048	766.57
Mtr.10234.1.S1_at	8.74909	7.96817	8.56398
Mtr.10234.1.S1_s_at	59.9051	38.4896	62.0182
Mtr.10235.1.S1_at	10.6358	10.2584	12.0375
Mtr.10236.1.S1_at	25.9964	29.0751	28.0909
Mtr.10237.1.S1_at	32.1165	28.6967	28.6025
Mtr.10238.1.S1_at	185.088	177.267	169.605
Mtr.10239.1.S1_at	105.758	103.312	93.8985
Mtr.10240.1.S1_at	403.098	364.584	354.431
Mtr.10241.1.S1_at	6.96985	7.58025	8.46297
Mtr.10242.1.S1_at	221.918	238.054	218.093
Mtr.10243.1.S1_at	93.9555	80.5448	85.1359
Mtr.10244.1.S1_at	94.3179	92.3652	92.831
Mtr.10245.1.S1_at	249.736	241.802	252.287
Mtr.10246.1.S1_at	24.7503	21.8514	19.911
Mtr.10247.1.S1_at	495.296	526.662	517.566
Mtr.10248.1.S1_at	3725.64	3689.36	3338.22
Mtr.10249.1.S1_at	9.84261	11.0035	9.56238
Mtr.1025.1.S1_at	14.1663	25.0585	21.4212
Mtr.10250.1.S1_at	8.56211	9.04151	11.2282
Mtr.10251.1.S1_at	320.836	329.31	337.68
Mtr.10252.1.S1_at	12.1785	10.5956	8.78117
Mtr.10253.1.S1_at	401.482	356.804	407.352
Mtr.10254.1.S1_at	351.726	335.949	359.973
Mtr.10255.1.S1_at	419.664	350.253	332.465
Mtr.10256.1.S1_at	31.7191	36.8381	27.7108
Mtr.10257.1.S1_at	48.7233	62.7511	46.4848
Mtr.10258.1.S1_at	62.0902	62.4102	57.0169
Mtr.10259.1.S1_at	12.4431	8.30262	9.45452
Mtr.10261.1.S1_at	26.0362	25.6314	28.1342
Mtr.10262.1.S1_at	31.5318	45.3802	39.2659
Mtr.10263.1.S1_at	1191.82	1234.15	1219.01
Mtr.10264.1.S1_at	31.3065	29.2437	44.1499
Mtr.10265.1.S1_at	134.313	134.824	146.462
Mtr.10265.1.S1_s_at	373.486	368.095	353.653
Mtr.10266.1.S1_at	144.012	133.366	135.867
Mtr.10267.1.S1_at	628.96	660.689	664.239
Mtr.10267.1.S1_a_at	2000.43	1872.69	1785.14
Mtr.10268.1.S1_at	265.715	246.065	293.334
Mtr.10269.1.S1_at	62.4727	48.5554	41.53
Mtr.1027.1.S1_at	94.5497	96.7207	104.364
Mtr.10270.1.S1_at	95.9646	79.631	80.3722
Mtr.10271.1.S1_at	16.2387	27.03	19.2987
Mtr.10272.1.S1_at	1010.14	1095.94	1137.8
Mtr.10273.1.S1_at	161.11	157.149	174.081
Mtr.10274.1.S1_at	112.755	102.507	97.4464
Mtr.10275.1.S1_s_at	11.4098	11.1655	10.1354
Mtr.10276.1.S1_at	54.0596	53.8271	48.6302
Mtr.10277.1.S1_at	112.016	99.7515	116.721
Mtr.10278.1.S1_at	223.306	187.087	193.306
Mtr.10279.1.S1_at	7.02158	7.41776	7.90155
Mtr.10279.1.S1_s_at	51.9493	46.7047	50.8266
Mtr.1028.1.S1_at	6.95448	6.20209	6.62065
Mtr.10280.1.S1_at	47.5676	48.6668	33.4386
Mtr.10282.1.S1_at	298.85	282.461	280.503
Mtr.10283.1.S1_at	341.407	351.251	395.934
Mtr.10284.1.S1_at	63.992	64.8591	61.2417
Mtr.10285.1.S1_at	13.4953	13.115	18.1904
Mtr.10286.1.S1_at	98.9885	89.0339	80.8904
Mtr.10287.1.S1_at	156.969	151.551	144.154
Mtr.10288.1.S1_at	18.2927	15.906	16.4883
Mtr.10289.1.S1_at	11.4487	10.0862	12.7319
Mtr.1029.1.S1_at	11.2061	10.3969	11.5066
Mtr.10290.1.S1_at	28.9527	23.3141	24.8327
Mtr.10291.1.S1_at	721.915	663.015	685.117
Mtr.10292.1.S1_at	227.482	232.469	243.05
Mtr.10293.1.S1_at	10.2998	11.7682	11.6468
Mtr.10294.1.S1_at	187.974	156.268	152.156
Mtr.10295.1.S1_at	38.4727	35.1626	27.2859
Mtr.10296.1.S1_at	174.563	160.45	168.301
Mtr.10297.1.S1_at	17338.7	17680.3	17701.4
Mtr.10298.1.S1_at	12.5356	11.1759	12.3166
Mtr.10299.1.S1_at	5292.93	5098.6	5080.67
Mtr.103.1.S1_at	10.7741	6.81371	7.3929
Mtr.10300.1.S1_at	7625.16	7593.09	7608.51
Mtr.10301.1.S1_s_at	44.1791	35.9606	36.8182
Mtr.10302.1.S1_x_at	104.498	134.173	128.897
Mtr.10303.1.S1_at	4279.79	4495.73	4554.94
Mtr.10304.1.S1_at	3936.34	3988.87	4036.57
Mtr.10305.1.S1_at	6582.24	6353.99	6577.83
Mtr.10306.1.S1_at	5380.66	5198.66	5312.87
Mtr.10307.1.S1_at	855.221	812.149	837.635
Mtr.10308.1.S1_at	4612.79	5089.81	5412.41
Mtr.10309.1.S1_at	3225.67	3236.32	3251.69
Mtr.1031.1.S1_at	11.2056	11.8308	12.9024
Mtr.10310.1.S1_at	82.353	79.4893	91.5885
Mtr.10311.1.S1_at	1561.83	1446.52	2479.14
Mtr.10312.1.S1_at	383.254	500.763	492.044
Mtr.10313.1.S1_at	3482.97	3334.58	3690.05
Mtr.10314.1.S1_at	738.947	764.476	698.786
Mtr.10315.1.S1_at	1651.57	1723.89	1639.47
Mtr.10316.1.S1_at	6016.26	5815.79	5538.25
Mtr.10317.1.S1_at	3577.61	2632.73	5035.36
Mtr.10318.1.S1_at	3523.5	3312.55	3222.31
Mtr.10319.1.S1_at	3205.31	1187.97	1634.35
Mtr.1032.1.S1_at	8.69123	8.80005	6.87699
Mtr.10320.1.S1_at	1224.62	1140.75	1173.06
Mtr.10321.1.S1_at	4384.97	3902.31	4776.48
Mtr.10322.1.S1_at	2541.21	2342.63	2655.4
Mtr.10323.1.S1_at	2408.98	2235.31	2337.15
Mtr.10324.1.S1_at	4044.65	4075.34	4074.62
Mtr.10325.1.S1_at	80.4387	69.1146	93.6929
Mtr.10326.1.S1_at	3599.13	3716.27	3484.65
Mtr.10327.1.S1_at	382.533	384.278	404.062
Mtr.10329.1.S1_at	5.72447	9.15405	7.80938
Mtr.1033.1.S1_at	658.77	693.45	623.526
Mtr.1033.1.S1_s_at	637.866	621.538	621.946
Mtr.10330.1.S1_at	38.943	33.3694	36.2061
Mtr.10330.1.S1_s_at	110.313	96.8996	107.414
Mtr.10330.1.S1_x_at	80.764	69.6254	60.9879
Mtr.10331.1.S1_at	1374.02	2221.39	2314.46
Mtr.10332.1.S1_at	823.207	748.875	705.39
Mtr.10337.1.S1_at	939.927	939.178	893.668
Mtr.10338.1.S1_at	7.74697	7.68764	8.47343
Mtr.10338.1.S1_s_at	610.986	591.135	747.518
Mtr.10339.1.S1_at	116.271	98.8651	106.937
Mtr.1034.1.S1_at	1489.79	1396.17	1450.34
Mtr.10340.1.S1_at	2045.17	2109.48	2184.8
Mtr.10341.1.S1_at	448.576	426.301	405.169
Mtr.10342.1.S1_at	1717.68	1792.21	1576.92
Mtr.10343.1.S1_at	10.1927	8.23993	12.7086
Mtr.10344.1.S1_at	2032.4	2005.18	2108.66
Mtr.10345.1.S1_s_at	1123.01	1203.45	1159.92
Mtr.10346.1.S1_at	23.7789	14.5941	15.7744
Mtr.10347.1.S1_at	1900.28	1758.83	2009.53
Mtr.10348.1.S1_at	30.2229	30.2632	32.9714
Mtr.10349.1.S1_at	78.1348	94.441	129.773
Mtr.10349.1.S1_s_at	1987.31	2041.32	2383.12
Mtr.1035.1.S1_at	19.3724	22.2392	17.375
Mtr.10350.1.S1_at	7.54534	8.35569	7.20398
Mtr.10351.1.S1_at	1886.88	1869.88	1855.56
Mtr.10352.1.S1_at	3398.97	3365.32	3585.27
Mtr.10353.1.S1_at	8.17659	5.85039	8.15901
Mtr.10353.1.S1_s_at	13.64	16.4921	14.8341
Mtr.10354.1.S1_at	8413.05	8403.47	8229.53
Mtr.10355.1.S1_at	2290.35	2381.25	2315.04
Mtr.10356.1.S1_at	5548.89	6237.94	5319.23
Mtr.10357.1.S1_at	10277.3	10910.7	10459.7
Mtr.10358.1.S1_at	95.6798	77.8065	87.5979
Mtr.10359.1.S1_at	1889.01	1696.91	1733.39
Mtr.1036.1.S1_at	7.26347	6.49267	6.21851
Mtr.10360.1.S1_s_at	1549.88	1465.26	1526.87
Mtr.10361.1.S1_at	13827	13657.6	15374.4
Mtr.10362.1.S1_at	11623.3	12451.5	12280.4
Mtr.10363.1.S1_x_at	3004.05	3256.61	4026.29
Mtr.10364.1.S1_at	10.355	11.5816	8.77386
Mtr.10365.1.S1_at	9.39752	15.5866	12.9952
Mtr.10365.1.S1_s_at	13110.9	12337	11793.4
Mtr.10366.1.S1_at	64.1709	63.4343	61.6012
Mtr.10367.1.S1_at	6192.29	6770.58	6917.35
Mtr.10368.1.S1_at	352.838	449.778	473.322
Mtr.10369.1.S1_at	61.5763	31.9135	82.8118
Mtr.1037.1.S1_at	16.4868	17.5547	11.3522
Mtr.10370.1.S1_at	10550.5	10931.8	10700.4
Mtr.10371.1.S1_at	10055.2	9997.98	9906.97
Mtr.10372.1.S1_at	4979.62	4875.7	5348.46
Mtr.10373.1.S1_at	6333.75	7467.46	2667.68
Mtr.10375.1.S1_at	1165.02	412.306	1602.2
Mtr.10376.1.S1_at	2664.48	2964.62	2896.4
Mtr.10377.1.S1_at	196.883	201.928	163.2
Mtr.10377.1.S1_s_at	113.065	130.781	104.672
Mtr.10378.1.S1_at	36.1806	45.3409	48.7662
Mtr.10379.1.S1_at	15.4599	15.9886	16.0756
Mtr.1038.1.S1_at	174.212	182.325	174.404
Mtr.10380.1.S1_at	9.03368	8.97093	8.19657
Mtr.10382.1.S1_at	23.1567	19.9492	22.9016
Mtr.10383.1.S1_at	7.65977	7.9996	8.07764
Mtr.10384.1.S1_at	6.60671	7.21252	8.11054
Mtr.10385.1.S1_at	23.5073	24.1404	18.1904
Mtr.10386.1.S1_at	54.2317	67.4876	60.0821
Mtr.10387.1.S1_at	6.52926	6.00256	6.15771
Mtr.10388.1.S1_at	562.505	612.689	709.026
Mtr.10389.1.S1_s_at	841.901	874.182	1075.77
Mtr.1039.1.S1_at	131.387	127.616	121.444
Mtr.10390.1.S1_at	694.232	657.194	661.041
Mtr.10391.1.S1_at	4777.74	4473.47	4611.47
Mtr.10392.1.S1_at	22461.8	22247.2	22945.6
Mtr.10393.1.S1_at	5340.51	5597.88	6660.74
Mtr.10394.1.S1_at	2070.89	1950.02	2080.75
Mtr.10395.1.S1_at	111.655	145.68	161.942
Mtr.10396.1.S1_at	1026.35	1283.83	899.363
Mtr.10397.1.S1_at	436.967	485.667	682.572
Mtr.10398.1.S1_at	6203.05	5299.64	5879.56
Mtr.10399.1.S1_at	7042.09	6927.28	7068.48
Mtr.104.1.S1_at	8.70677	7.8471	7.96013
Mtr.1040.1.S1_at	163.617	179.985	143.03
Mtr.10400.1.S1_at	4804.43	4923.13	4910.3
Mtr.10402.1.S1_at	30.0605	39.8283	58.721
Mtr.10403.1.S1_at	67.3315	47.0956	99.4265
Mtr.10404.1.S1_at	843.942	911.916	840.628
