Probeset	Nod_06dpi_1	Nod_06dpi_2	Nod_06dpi_3
Mtr.10254.1.S1_at	928.671	1028.2	1008.25
Mtr.10255.1.S1_at	803.647	823.66	954.711
Mtr.10256.1.S1_at	29.8431	37.597	28.2048
Mtr.10257.1.S1_at	136.876	91.5457	111.336
Mtr.10258.1.S1_at	53.3167	57.7119	66.7454
Mtr.10259.1.S1_at	7.87665	11.9183	8.88944
Mtr.10261.1.S1_at	30.5502	40.7029	40.3651
Mtr.10262.1.S1_at	39.8869	37.8116	55.5226
Mtr.10263.1.S1_at	1156.02	1083.59	1191.75
Mtr.10264.1.S1_at	24.335	17.2247	20.4334
Mtr.10265.1.S1_at	222.769	212.89	220.542
Mtr.10265.1.S1_s_at	601.757	587.536	650.144
Mtr.10266.1.S1_at	137.951	141.717	108.128
Mtr.10267.1.S1_at	769.263	829.51	775.646
Mtr.10267.1.S1_a_at	2399.58	2361.35	2225.68
Mtr.10268.1.S1_at	249.52	227.52	221.999
Mtr.10269.1.S1_at	48.6211	53.7875	56.7618
Mtr.1027.1.S1_at	63.8549	51.3637	74.81
Mtr.10270.1.S1_at	312.143	427.847	444.586
Mtr.10271.1.S1_at	20.0243	19.9904	23.0299
Mtr.10272.1.S1_at	151.49	165.426	150.282
Mtr.10273.1.S1_at	153.015	138.263	156.852
Mtr.10274.1.S1_at	587.152	581.164	527.952
Mtr.10275.1.S1_s_at	11.9631	12.5154	10.348
Mtr.10276.1.S1_at	45.161	52.4266	46.9227
Mtr.10277.1.S1_at	253.987	229.866	264.416
Mtr.10278.1.S1_at	184.511	234.2	223.797
Mtr.10279.1.S1_at	6.61726	8.45903	7.01391
Mtr.10279.1.S1_s_at	149.033	149.495	205.504
Mtr.1028.1.S1_at	7.65816	7.34449	6.99282
Mtr.10280.1.S1_at	32.4342	32.5507	40.5339
Mtr.10282.1.S1_at	287.972	291.509	271.004
Mtr.10283.1.S1_at	1355.62	1217.91	1142.1
